plate_number,plate_position,member_name,catalytic_bin
1,A1,WT,1
1,A2,C145A,1
1,A3,G15S,1
1,A4,H41Y,1
1,A5,H41L,1
1,A6,M49I,1
1,A7,M49T,1
1,A8,M49V,1
1,A9,M49L,1
1,A10,M49K,1
1,A11,K88R,1
1,A12,L89F,1
1,A13,K90R,1
1,A14,P108S,1
1,A15,P132H,1
1,A16,G143S,1
1,A17,G143C,1
1,A18,G143D,1
1,A19,H164N,1
1,A20,H164Q,1
1,A21,M165I,1
1,A22,M165K,1
1,A23,M165V,1
1,A24,M165L,1
1,B1,M165T,1
1,B2,E166G,1
1,B3,E166D,1
1,B4,E166Q,1
1,B5,P168del,1
1,B6,A173V,1
1,B7,Q189K,1
1,B8,Q189del,1
1,B9,Q189H,1
1,B10,Q189P,1
1,B11,Q189G,1
1,B12,Q189S,1
1,B13,A206V,1
